date,close,ret,volume,vol_ratio_5,vol_ratio_10,vol_ratio_20,amount_ratio_5,vol_percentile_20,vol_cv_20,pv_dir_sync_5,pv_confirm_score,ret_vol_dir_corr_10,close_vol_corr_10,is_healthy_up,is_weak_up,is_distribution,is_washout,up_day_vol_bias,amihud_illiq,effort_vs_result,turn_efficiency,vol_per_point,amplitude_efficiency,obv_slope_10,obv_price_r,vwap_premium,cum_money_flow_sign,mfi_14,price_slope_5,vol_trend_5,vol_cluster_streak,retreat_vol_shrink,launch_power,gap_quality,amplitude_vol_ratio,health_score
2026-05-07,150.05,,38070854.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.8786302977176474,-0.007104591939869009,0.0,,,,0,0.9721362896384379,,,,
2026-05-08,162.1,0.08030656447850704,41791778.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0012031987919210443,,0.3691458143688813,520.3382175439491,,,0.8786302977176474,0.014986353420529008,6674421967.32,,,,0,0.9721362896384379,,,,
2026-05-11,178.8,0.10302282541640984,41473369.0,,,,,,,0.3333333333333333,,,,0.0,0.0,0.0,0.0,,0.0014456580067500643,,0.47720054387146155,402.5257856647559,,,0.8786302977176474,0.040564342924081176,13800784145.33,,14.374999999999998,1701257.4999999998,0,0.9721362896384379,,,,
2026-05-12,176.71,-0.011689038031319932,33668719.0,,,,,,,0.5,,,,0.0,0.0,0.0,0.0,,0.00019115195067646805,,0.06668704163188423,2877.904910631474,,,0.8786302977176474,-0.02705636213696372,7685733794.05,,9.668000000000001,-1352481.4,0,0.9721362896384379,,,,
2026-05-13,178.33,0.00916756267330654,30804549.0,0.8289292876987746,,,0.8674866655484136,0.2,0.13007874377589568,0.4,-0.1710707123012254,,-0.3782507010766634,0.0,1.0,0.0,0.0,0.8289292876987746,0.00017013446638989693,0.9032128869136055,0.05716186454153312,3356.506525375934,5.105052774175561,16860660.400000002,0.8786302977176474,0.01947758153303636,13074155592.310001,,7.117000000000002,-2265566.9,-1,0.9721362896384379,,0.0,3.9309758536108466,40.27777777777778
2026-05-14,175.55,-0.015589076431335225,34769439.0,0.9525463764425175,,,1.0006299569803148,0.5,0.12057128392620492,0.4,0.047453623557482505,0.3503474619944079,-0.40865439875815485,0.0,0.0,0.0,0.0,0.9525463764425175,0.00024623222937092713,0.6106428035246078,0.08612321172613087,2228.942152636396,6.584955140670257,8866187.657142857,0.8786302977176474,-0.035897901649891706,6743109298.670001,,2.643000000000004,-2471349.8000000003,0,0.9721362896384379,,0.0,6.602070999175406,38.477777777777774
2026-05-15,160.4,-0.08630019937339795,36982808.0,1.0406032713182376,,,0.986036291690947,0.5714285714285715,0.10999529045786006,0.2,-0.0406032713182376,0.05875404166061008,-0.39248434845055513,0.0,0.0,0.0,0.0,1.0406032713182376,0.001407448257371855,0.12056550429415029,0.44825218086595026,428.4871112393542,8.80474668406849,1098626.4285714272,0.8786302977176474,-0.03255811647482898,611430999.210001,,-3.796000000000001,-788040.2000000001,0,0.9721362896384379,,0.0,10.450490272481073,26.97407407407407
2026-05-18,160.33,-0.00043640897755603536,22702117.0,0.7142281274284639,,,0.6593404027939694,0.125,0.1779505506564754,0.4,0.28577187257153613,0.09992906917857004,-0.0055653752443791836,0.0,0.0,0.0,1.0,0.7142281274284639,1.198783055755634e-05,15.999412272993784,0.003691436260222593,50854.974118772785,7.664496188263491,-4121252.7023809524,0.8786302977176474,-0.00016561160377503992,-3029002317.399999,,-5.069,-1575494.5,-1,0.9721362896384379,,0.0,4.45724660571006,37.99629629629629
2026-05-19,155.2,-0.03199650720389213,25396464.0,0.8428661660048151,,,0.7646734310043776,0.2222222222222222,0.19603111298703502,0.2,0.15713383399518488,0.026081579350703352,0.17926489192779338,0.0,0.0,0.0,1.0,0.8428661660048151,0.0008246034276017779,0.2633421262231072,0.2419560287950948,793.478146122476,5.933727511357247,-7975543.716666667,0.8786302977176474,0.015798420547262326,-6909232029.389999,,-6.148000000000005,-2288349.2,-2,0.9721362896384379,,0.8428661660048151,4.715592533564018,38.41851851851852
2026-05-20,161.1,0.03801546391752586,28281661.0,0.9546069599897157,0.8469039981516777,,0.9194425721283576,0.3,0.19550965155361455,0.4,-0.045393040010284325,0.06921944800686897,0.2138852200486247,0.0,0.0,0.0,0.0,0.9546069599897157,0.0008442791569949303,0.25104413244245505,0.25816427453108504,743.7558437509302,7.594317999413553,-7960062.5212121215,0.8786302977176474,0.011873508144740752,-2406519436.9299994,,-3.4100000000000055,-2456190.0,-1,0.9721362896384379,,0.0,7.645466825175369,42.72222222222223
2026-05-21,148.52,-0.07808814400993158,24298253.0,0.882537520366199,0.7589192296870745,,0.85874603679211,0.18181818181818182,0.20799580016196018,0.6,0.11746247963380096,0.1305527713223255,0.542164793606322,0.0,0.0,0.0,0.0,0.882537520366199,0.0020742193258622183,0.11300364836505826,0.6171707317858115,311.1245895537548,9.154269655238153,-12860209.957575759,0.8786302977176474,-0.04141734604108005,-6171219873.199999,,-2.299000000000001,-1978956.6,-2,0.9721362896384379,,0.0,7.937907306087046,46.47777777777778
2026-05-22,161.42,0.08685698895771599,27116224.0,1.0609289731291636,0.887620026531292,,1.0597070942739515,0.33333333333333337,0.2070048085624821,0.8,0.060928973129163566,0.11687706622682074,0.7052393278963175,0.0,0.0,0.0,0.0,1.0609289731291636,0.002045588270907711,0.12213258291312357,0.6151824076784733,312.1579822825366,6.576918558415958,-13065275.818181818,0.8786302977176474,0.030860765981558735,-1925155785.2799988,,-0.45000000000000284,773000.3,-1,0.9721362896384379,,0.0,8.100548448212171,57.266666666666666
2026-05-25,163.2,0.011027134184115939,23642939.0,0.9182755133642543,0.8218966214350976,,0.941955026733058,0.15384615384615385,0.2156367643023563,0.6,-0.08172448663574572,0.08047048087507341,0.5907785289233654,0.0,0.0,0.0,0.0,0.9182755133642543,0.00028978251865916123,0.8319872695629523,0.08956630021943304,2142.1266250459903,4.149174798037438,-8608053.775757577,0.8786302977176474,0.013984087394858902,1880158018.7200012,,1.6319999999999995,-467248.7,0,0.9721362896384379,,0.0,3.8797168883311914,45.59629629629629
